character_1;character_2;character_3;character_4;character_5;character_6;character_7;character_8;character_9;character_10;character_11;character_12;placement;win
TFT13_Irelia;TFT13_Vex;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Illaoi;TFT13_Zoe;TFT13_Jinx;TFT13_Viktor;;;;1;1
TFT13_Nocturne;TFT13_Ziggs;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_NunuWillump;TFT13_Elise;TFT13_Silco;TFT13_DrMundo;TFT13_Mordekaiser;;;;2;0
TFT13_Morgana;TFT13_Rell;TFT13_RenataGlasc;TFT13_Cassiopeia;TFT13_NunuWillump;TFT13_Heimerdinger;TFT13_Elise;TFT13_Garen;TFT13_Sion;;;;6;0
TFT13_Lux;TFT13_Morgana;TFT13_Leona;TFT13_Vladimir;TFT13_Cassiopeia;TFT13_Nami;TFT13_Elise;TFT13_Garen;TFT13_Sion;;;;4;0
TFT13_Blue;TFT13_Trundle;TFT13_Tristana;TFT13_Gangplank;TFT13_Elise;TFT13_Ekko;TFT13_Corki;TFT13_Rumble;;;;;5;0
TFT13_Amumu;TFT13_Nocturne;TFT13_Blitzcrank;TFT13_KogMaw;TFT13_TwistedFate;TFT13_Ambessa;TFT13_Lieutenant;;;;;;8;0
TFT13_Irelia;TFT13_Leona;TFT13_Tristana;TFT13_Ezreal;TFT13_Beardy;TFT13_Heimerdinger;TFT13_Illaoi;TFT13_Corki;TFT13_Jayce;TFT13_Viktor;TFT13_JayceSummon;;3;0
TFT13_Singed;TFT13_Irelia;TFT13_Leona;TFT13_Rell;TFT13_Ezreal;TFT13_Beardy;TFT13_Heimerdinger;TFT13_Illaoi;;;;;7;0
TFT13_Darius;TFT13_Draven;TFT13_Blue;TFT13_Red;TFT13_Prime;TFT13_Gangplank;TFT13_Vi;TFT13_Lieutenant;TFT13_Viktor;;;;1;1
TFT13_Vladimir;TFT13_RenataGlasc;TFT13_Cassiopeia;TFT13_Chainsaw;tft13_elise;TFT13_Silco;TFT13_Garen;TFT13_DrMundo;TFT13_Sion;;;;8;0
TFT13_Morgana;TFT13_Singed;TFT13_Vex;TFT13_Rell;TFT13_RenataGlasc;TFT13_NunuWillump;;;;;;;7;0
TFT13_Vladimir;TFT13_Cassiopeia;tft13_elise;TFT13_Silco;TFT13_Garen;TFT13_DrMundo;TFT13_LeBlanc;TFT13_Mordekaiser;TFT13_Viktor;TFT13_Sion;TFT13_Mordekaiser;;2;0
TFT13_Fish;TFT13_Sett;TFT13_Chainsaw;TFT13_NunuWillump;tft13_elise;TFT13_DrMundo;TFT13_Twitch;TFT13_Caitlyn;;;;;3;0
TFT13_Tristana;tft13_elise;TFT13_DrMundo;TFT13_Ekko;TFT13_Illaoi;TFT13_Corki;TFT13_Jayce;TFT13_Mordekaiser;TFT13_Rumble;TFT13_JayceSummon;;;4;0
TFT13_Lux;TFT13_Irelia;TFT13_Leona;TFT13_Ezreal;TFT13_Heimerdinger;TFT13_Illaoi;TFT13_Jayce;TFT13_Rumble;TFT13_JayceSummon;;;;5;0
TFT13_Lux;TFT13_Vladimir;tft13_swain;TFT13_Blitzcrank;TFT13_Nami;TFT13_Zoe;TFT13_Malzahar;TFT13_Mordekaiser;;;;;6;0
TFT13_Vladimir;TFT13_Rell;TFT13_Tristana;TFT13_Nami;TFT13_Ambessa;TFT13_Garen;TFT13_Corki;TFT13_Malzahar;TFT13_Warwick;;;;2;0
TFT13_Blue;TFT13_Trundle;TFT13_Gangplank;tft13_elise;TFT13_Ekko;TFT13_Corki;TFT13_Rumble;TFT13_MissMage;;;;;4;0
TFT13_Fish;TFT13_Shooter;TFT13_Camille;TFT13_Beardy;TFT13_TwistedFate;TFT13_Vi;TFT13_Rumble;TFT13_Caitlyn;;;;;6;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;tft13_jinx;;;;;8;0
TFT13_Irelia;TFT13_Akali;TFT13_Sett;TFT13_Ezreal;TFT13_Ekko;TFT13_Illaoi;TFT13_Zoe;TFT13_Jayce;TFT13_Lieutenant;tft13_jinx;TFT13_JayceSummon;;3;0
TFT13_Morgana;TFT13_Singed;TFT13_Vex;TFT13_Leona;TFT13_Rell;TFT13_RenataGlasc;TFT13_Beardy;;;;;;7;0
TFT13_Singed;TFT13_RenataGlasc;TFT13_Chainsaw;TFT13_Gremlin;tft13_elise;TFT13_Silco;TFT13_DrMundo;TFT13_Jayce;TFT13_Lieutenant;TFT13_JayceSummon;;;1;1
TFT13_Morgana;TFT13_Vladimir;TFT13_Cassiopeia;tft13_elise;TFT13_Silco;TFT13_Garen;TFT13_DrMundo;TFT13_LeBlanc;TFT13_Mordekaiser;TFT13_Sion;;;5;0
